species,longitude,latitude,year,base,id_og
Akodon cursor,-44.01666667,-22.51666667,,lena,CEG 70
Akodon cursor,-44.01666667,-22.51666667,,lena,CEG 74
Akodon cursor,-44.01666667,-22.51666667,,lena,CEG 75
Akodon cursor,-44.01666667,-22.51666667,,lena,CEG 77
Akodon cursor,-44.01666667,-22.51666667,,lena,CEG 78
Akodon cursor,-44.36888889,-22.80611111,,lena,EEB 665
Akodon cursor,-39.06666667,-15.28333333,,lena,FAG 1
Akodon cursor,-39.06666667,-15.28333333,,lena,FAG 10
Akodon cursor,-48.5,-25.25,,lena,FAG 100
Akodon cursor,-48.5,-25.25,,lena,FAG 101
Akodon cursor,-48.5,-25.25,,lena,FAG 102
Akodon cursor,-48.5,-25.25,,lena,FAG 103
Akodon cursor,-48.5,-25.25,,lena,FAG 104
Akodon cursor,-48.5,-25.25,,lena,FAG 105
Akodon cursor,-48.5,-25.25,,lena,FAG 106
Akodon cursor,-48.5,-25.25,,lena,FAG 107
Akodon cursor,-48.5,-25.25,,lena,FAG 108
Akodon cursor,-44.85,-23.33333333,,lena,FAG 109
Akodon cursor,-39.06666667,-15.28333333,,lena,FAG 11
Akodon cursor,-45.85,-23.53333333,,lena,FAG 110
Akodon cursor,-47.05,-23.96666667,,lena,FAG 111
Akodon cursor,-47.85,-24.38333333,,lena,FAG 112
Akodon cursor,-47.55,-24.71666667,,lena,FAG 113
Akodon cursor,-48.5,-25.25,,lena,FAG 114
Akodon cursor,-48.5,-25.25,,lena,FAG 115
Akodon cursor,-48.5,-25.25,,lena,FAG 116
Akodon cursor,-48.5,-25.25,,lena,FAG 117
Akodon cursor,-48.5,-25.25,,lena,FAG 118
Akodon cursor,-48.5,-25.25,,lena,FAG 119
Akodon cursor,-39.06666667,-15.28333333,,lena,FAG 12
Akodon cursor,-48.5,-25.25,,lena,FAG 120
Akodon cursor,-48.5,-25.25,,lena,FAG 121
Akodon cursor,-48.5,-25.25,,lena,FAG 122
Akodon cursor,-48.5,-25.25,,lena,FAG 123
Akodon cursor,-48.5,-25.25,,lena,FAG 124
Akodon cursor,-48.5,-25.25,,lena,FAG 125
Akodon cursor,-48.5,-25.25,,lena,FAG 126
Akodon cursor,-48.5,-25.25,,lena,FAG 127
Akodon cursor,-48.5,-25.25,,lena,FAG 128
Akodon cursor,-48.5,-25.25,,lena,FAG 129
Akodon cursor,-39.06666667,-15.28333333,,lena,FAG 13
Akodon cursor,-48.5,-25.25,,lena,FAG 130
Akodon cursor,-48.5,-25.25,,lena,FAG 131
Akodon cursor,-48.5,-25.25,,lena,FAG 132
Akodon cursor,-48.5,-25.25,,lena,FAG 133
Akodon cursor,-48.5,-25.25,,lena,FAG 134
Akodon cursor,-48.5,-25.25,,lena,FAG 135
Akodon cursor,-48.5,-25.25,,lena,FAG 136
Akodon cursor,-48.5,-25.25,,lena,FAG 137
Akodon cursor,-48.5,-25.25,,lena,FAG 138
